Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: allocalot,Param: execName,Param: isVirtual,Param: queue,Param: singleshot,Param: stackDepth,Param: stackFrame,Param: threads
micro.Ring.trip:·ipc,thrpt,1,1,0.612644,NaN,insns/clk,false,fjp,false,sq,false,160,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,160,1,20000
micro.Ring.trip,thrpt,1,20,0.002898,3.3E-05,ops/ms,false,fjp,false,sq,false,180,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.625468,NaN,clks/insn,false,fjp,false,sq,false,180,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.615207,NaN,insns/clk,false,fjp,false,sq,false,180,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,180,1,20000
micro.Ring.trip,thrpt,1,20,0.002823,2.6E-05,ops/ms,false,fjp,false,sq,false,200,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.634669,NaN,clks/insn,false,fjp,false,sq,false,200,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.611745,NaN,insns/clk,false,fjp,false,sq,false,200,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,200,1,20000
micro.Ring.trip,thrpt,1,20,0.002783,2.5E-05,ops/ms,false,fjp,false,sq,false,220,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.626151,NaN,clks/insn,false,fjp,false,sq,false,220,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.614949,NaN,insns/clk,false,fjp,false,sq,false,220,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,220,1,20000
micro.Ring.trip,thrpt,1,20,0.002753,3.3E-05,ops/ms,false,fjp,false,sq,false,240,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.631095,NaN,clks/insn,false,fjp,false,sq,false,240,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.613085,NaN,insns/clk,false,fjp,false,sq,false,240,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,240,1,20000
micro.Ring.trip,thrpt,1,20,0.002734,2.2E-05,ops/ms,false,fjp,false,sq,false,256,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.633028,NaN,clks/insn,false,fjp,false,sq,false,256,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.61236,NaN,insns/clk,false,fjp,false,sq,false,256,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,256,1,20000
micro.Ring.trip,thrpt,1,20,0.029564,0.002319,ops/ms,false,fjp,true,sq,false,1,1,20000
